-0.009694, 0.003624, 0.008089
-0.009888, 0.003681, 0.008228
-0.010080, 0.003735, 0.008367
-0.010270, 0.003782, 0.008503
-0.010457, 0.003836, 0.008640
-0.010643, 0.003885, 0.008778
-0.010829, 0.003932, 0.008915
-0.011007, 0.003986, 0.009050
-0.011192, 0.004039, 0.009188
-0.011377, 0.004096, 0.009327
-0.011563, 0.004147, 0.009465
-0.011752, 0.004197, 0.009604
-0.011939, 0.004245, 0.009740
-0.012125, 0.004287, 0.009874
-0.012307, 0.004334, 0.010009
-0.012488, 0.004378, 0.010142
-0.012661, 0.004420, 0.010271
-0.012834, 0.004472, 0.010401
-0.012993, 0.004518, 0.010522
-0.013158, 0.004573, 0.010647
-0.013322, 0.004628, 0.010775
-0.013487, 0.004680, 0.010900
-0.013646, 0.004740, 0.011022
-0.013811, 0.004789, 0.011144
-0.013975, 0.004845, 0.011265
-0.014139, 0.004898, 0.011386
-0.014302, 0.004943, 0.011504
-0.014463, 0.004997, 0.011622
-0.014624, 0.005044, 0.011737
-0.014786, 0.005089, 0.011854
-0.014946, 0.005145, 0.011974
-0.015111, 0.005198, 0.012093
-0.015277, 0.005253, 0.012213
-0.015444, 0.005312, 0.012335
-0.015610, 0.005364, 0.012455
-0.015772, 0.005415, 0.012573
-0.015930, 0.005472, 0.012686
-0.016090, 0.005515, 0.012799
-0.016244, 0.005561, 0.012908
-0.016392, 0.005610, 0.013016
-0.016545, 0.005657, 0.013123
-0.016690, 0.005715, 0.013229
-0.016834, 0.005766, 0.013331
-0.016981, 0.005817, 0.013436
-0.017120, 0.005870, 0.013539
-0.017267, 0.005915, 0.013642
-0.017410, 0.005962, 0.013745
-0.017551, 0.006009, 0.013851
-0.017696, 0.006050, 0.013956
-0.017844, 0.006096, 0.014065
-0.018000, 0.006136, 0.014178
-0.018162, 0.006179, 0.014293
-0.018332, 0.006223, 0.014414
-0.018511, 0.006260, 0.014537
-0.018695, 0.006306, 0.014664
-0.018878, 0.006357, 0.014789
-0.019060, 0.006402, 0.014915
-0.019239, 0.006452, 0.015037
-0.019413, 0.006497, 0.015159
-0.019582, 0.006538, 0.015276
-0.019747, 0.006583, 0.015390
-0.019904, 0.006626, 0.015500
-0.020059, 0.006666, 0.015606
-0.020206, 0.006714, 0.015710
-0.020355, 0.006764, 0.015815
